duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,n_bars,processing,genre,genre_val
199876,False,20,Jor'dan Armstrong,52 Weeks of Summer,0.72,0.441,5,-9.626,0.172,0.668,3.96e-05,0.116,0.309,96.01,4.0,320.0,80.0,1.2793053545586106,afrobeat,1
123906,False,21,A.Skillz;Krafty Kuts,Tricka Technology,0.789,0.767,7,-7.056,0.127,0.00224,0.76,0.0906,0.937,95.011,4.0,196.0,48.0,4.067085953878407,breakbeat,5
180666,False,20,Bassnectar,Take You Down,0.635,0.969,11,-2.652,0.127,0.00206,0.106,0.373,0.0845,89.994,4.0,258.0,66.0,0.7481162540365985,breakbeat,5
358840,False,50,Padre Zezinho,Música Tradicional Católica,0.576,0.381,2,-11.719,0.0236,0.572,1.66e-05,0.0795,0.301,99.987,4.0,590.0,147.0,3.70048309178744,brazil,4
198040,False,55,Marcelo Falcão,Viver (Mais leve que o ar),0.554,0.735,7,-5.915,0.0527,0.434,3.32e-05,0.406,0.885,170.012,4.0,558.0,138.0,4.067085953878407,brazil,4
508393,False,16,Primordial,Exile Amongst the Ruins,0.115,0.901,7,-6.318,0.0751,4.28e-05,0.000649,0.126,0.0795,160.184,4.0,994.0,249.0,4.067085953878407,black-metal,2
261493,False,21,ZONE,E 〜Complete A side Singles〜,0.443,0.816,0,-5.038,0.0391,0.015,0.0,0.384,0.485,173.966,4.0,747.0,185.0,3.349056603773585,j-idol,15
313200,True,18,Wasting Program,Dirty Puppets,0.6,0.83,6,-12.622,0.0746,0.000267,0.369,0.249,0.3,173.011,4.0,900.0,226.0,1.1709531013615733,happy,9
296093,False,13,Osibisa,Ojah Awake,0.581,0.709,2,-13.307,0.0436,0.0268,0.232,0.0398,0.816,132.096,4.0,631.0,158.0,3.70048309178744,afrobeat,1
280000,False,0,Alireza Mashayekhi;Layla Ramezan,"Mashayekhi: Sheherazade ""Layla Ramezan Plays 100 Years of Iranian Piano Music, Vol.2""",0.328,0.0588,4,-23.095,0.0567,0.989,0.865,0.0758,0.0679,71.226,4.0,408.0,102.0,0.916010498687664,iranian,13
596327,False,12,Crows in the Rain,Dri:m Wan; Därk Blü,0.382,0.553,9,-6.902,0.0345,0.000585,0.628,0.271,0.0393,130.005,4.0,1278.0,320.0,1.343558282208589,iranian,13
243676,False,50,Marcelo Falcão,Quando você olhar pra mim,0.676,0.743,7,-7.35,0.199,0.448,0.0,0.0723,0.878,163.834,4.0,641.0,161.0,4.067085953878407,brazil,4
216893,False,22,Josh Williams;Missy Raines;Randy Kohrs;Don Rigsby;Kristin Scott Benson;Ron Stewart,Lonesome Highway,0.673,0.671,10,-7.802,0.0297,0.286,1.62e-06,0.103,0.921,105.389,4.0,372.0,92.0,0.7573891625615764,bluegrass,3
179304,False,54,Josement;Chris Lake,All Night Alone (Chris Lake Edit),0.804,0.857,1,-6.814,0.118,0.0534,0.824,0.086,0.848,126.001,4.0,373.0,92.0,2.36741214057508,techno,20
297750,False,0,ArtSaves,Decay,0.0705,0.363,4,-11.673,0.0401,0.000144,0.839,0.12,0.0432,178.957,4.0,779.0,195.0,0.916010498687664,iranian,13
483557,False,10,Glenn Underground,C.V.O. Trance,0.704,0.833,4,-8.285,0.0805,0.00345,0.903,0.0741,0.961,123.984,4.0,992.0,247.0,0.916010498687664,chicago-house,6
363026,False,27,Ministry,Twitch,0.668,0.683,1,-12.862,0.039,0.00544,0.897,0.626,0.675,122.47,4.0,734.0,184.0,2.36741214057508,industrial,12
260413,False,20,Naglfar,Pariah,0.49,0.996,9,-3.529,0.0729,0.000427,0.000601,0.0432,0.0701,108.988,4.0,463.0,116.0,1.343558282208589,black-metal,2
185003,False,0,White Noise for Babies,Rising Sun,0.232,0.146,4,-23.397,0.0461,0.934,0.948,0.146,0.041,136.158,4.0,412.0,102.0,0.916010498687664,sleep,17
231933,False,0,Traditional;Magdalena Hoffmann,Weihnachten Klassik 2022,0.326,0.0376,7,-24.143,0.0466,0.984,0.853,0.127,0.133,99.372,4.0,368.0,93.0,4.067085953878407,sleep,17
232000,False,0,Rojin Sharafi,Kariz,0.334,0.815,6,-12.276,0.209,0.00168,0.838,0.262,0.357,158.647,4.0,558.0,141.0,1.1709531013615733,iranian,13
362135,False,16,Squad-E,Stay,0.554,0.927,7,-2.815,0.0805,0.00177,0.0241,0.0598,0.145,174.973,4.0,1054.0,266.0,4.067085953878407,happy,9
109569,False,2,sonolon,city skyline,0.684,0.445,4,-7.685,0.036,0.96,0.867,0.157,0.547,90.016,4.0,162.0,39.0,0.916010498687664,study,19
105287,False,24,Matty Valentino;DJ MOX;Ivan Fillini;Toby Tyrol;Xandl,Tiroler Bua (Wellerman - Hüttenstyle),0.783,0.727,8,-5.955,0.108,0.16,0.0,0.215,0.8,120.117,4.0,208.0,51.0,2.7259036144578315,happy,9
128345,False,21,Germaine Franco,Encanto (Originele Nederlandstalige Soundtrack),0.808,0.316,0,-14.883,0.0847,0.434,0.746,0.0797,0.315,96.393,4.0,199.0,49.0,3.349056603773585,disney,7
370826,False,16,Ed Rush;Optical;Matrix,What's the Difference? / Medicine (Matrix Remix) [2017 Remaster],0.743,0.485,1,-16.069,0.12,0.00158,0.912,0.0928,0.475,168.753,4.0,1040.0,260.0,2.36741214057508,industrial,12
126975,False,41,Regen zum Schlafen,Schlaf Regen,0.0751,0.91,10,-21.172,0.0668,0.134,0.947,0.7,0.0269,175.909,3.0,308.0,102.0,0.7573891625615764,sleep,17
245118,False,5,Maurice Joshua;The Whispers,Praise His Holy Name (House Remix),0.758,0.694,1,-8.033,0.29,0.0957,1.92e-06,0.117,0.874,119.977,4.0,474.0,118.0,2.36741214057508,chicago-house,6
214600,False,31,Old Crow Medicine Show,O.C.M.S.,0.58,0.29,2,-11.942,0.0272,0.261,0.0,0.125,0.497,91.321,4.0,320.0,79.0,3.70048309178744,bluegrass,3
268840,False,3,Black Eyed Peas,OO's Music Grandi Successi,0.715,0.907,7,-6.025,0.0993,0.0172,8.39e-05,0.426,0.841,124.991,4.0,558.0,139.0,4.067085953878407,breakbeat,5
206276,False,36,The Infamous Stringdusters,Rise Sun,0.515,0.748,0,-5.758,0.035,0.311,0.00263,0.103,0.916,121.564,4.0,412.0,106.0,3.349056603773585,bluegrass,3
32106,False,0,Bogdan Raczynski,MyLoveILove,0.346,0.0342,2,-22.619,0.0433,0.986,0.892,0.111,0.172,71.34,3.0,31.0,9.0,3.70048309178744,idm,10
90373,False,0,Traditional;Academy of St Martin in the Fields Chorus;Academy of St. Martin in the Fields;Sir Neville Marriner,Weihnachten Klassik 2022,0.386,0.212,7,-18.032,0.0407,0.989,0.0092,0.298,0.732,67.315,3.0,99.0,32.0,4.067085953878407,sleep,17
230994,False,34,Namewee;明日花綺羅,我愛的,0.746,0.528,6,-6.947,0.0446,0.48,0.0,0.115,0.424,139.898,4.0,532.0,132.0,1.1709531013615733,mandopop,16
348794,False,12,Mr. Fingers,Amnesia,0.698,0.777,8,-10.16,0.0425,0.0174,0.914,0.185,0.869,117.525,4.0,680.0,170.0,2.7259036144578315,chicago-house,6
324999,False,11,Musica para Acostarse,Música para Acostarse - 30 Canciones Relajantes para Dormir Profundamente y Recarga de Energía,0.0688,0.0434,5,-23.135,0.0407,0.981,0.868,0.104,0.038,70.747,4.0,379.0,95.0,1.2793053545586106,mandopop,16
224106,False,0,Deekline & Wizard,Back to Back,0.649,0.863,11,-6.368,0.051,0.000633,0.398,0.32,0.926,137.086,4.0,511.0,126.0,0.7481162540365985,breakbeat,5
141955,False,57,Poorvesh Dave;Kuxh Beats,LoFi Songs,0.457,0.516,8,-10.439,0.0396,0.353,0.00403,0.18,0.149,89.96,4.0,209.0,53.0,2.7259036144578315,indian,11
221893,True,28,Sevendust,Animosity,0.521,0.989,7,-3.209,0.174,7.21e-05,2.87e-05,0.0676,0.0974,125.984,4.0,458.0,114.0,4.067085953878407,industrial,12
185806,False,15,Barbara Tucker;Dennis Quin,You Want Me Back (Dennis Quin Radio Mix),0.804,0.796,11,-6.113,0.112,0.0335,0.461,0.111,0.278,124.008,4.0,376.0,94.0,0.7481162540365985,chicago-house,6
260580,False,13,Romperayo,El Busetero Buscapleitos,0.434,0.87,8,-7.957,0.0354,0.0146,0.78,0.225,0.898,124.228,4.0,534.0,132.0,2.7259036144578315,afrobeat,1
238001,False,19,Qyubi,Woso,0.778,0.619,3,-10.109,0.0692,0.623,0.000922,0.144,0.684,102.017,4.0,398.0,100.0,1.7389162561576357,afrobeat,1
233946,False,48,BABYMETAL,BABYMETAL,0.383,0.97,7,-3.412,0.15,7.55e-06,0.693,0.129,0.132,180.089,4.0,696.0,175.0,4.067085953878407,j-idol,15
374136,False,18,Aaron Smith;Monica Villacci,U Are,0.82,0.672,0,-7.212,0.0413,0.033,0.173,0.0976,0.68,127.992,4.0,798.0,201.0,3.349056603773585,chicago-house,6
96073,False,0,The Countdown Kids,Happy Halloween! (Spooky Favorites for Kids),0.518,0.584,9,-7.383,0.128,0.164,0.0,0.242,0.616,131.548,4.0,206.0,51.0,1.343558282208589,disney,7
261426,True,25,American Head Charge,The War Of Art,0.509,0.948,8,-3.432,0.079,3.76e-05,0.00415,0.135,0.332,161.748,4.0,704.0,178.0,2.7259036144578315,industrial,12
166552,False,59,Lérica;Abraham Mateo,Espinita Clavá,0.689,0.844,4,-3.966,0.0536,0.113,0.0,0.236,0.907,146.92,4.0,402.0,100.0,0.916010498687664,spanish,18
323919,False,44,Rival Consoles,Now Is,0.594,0.418,8,-12.837,0.0285,0.107,0.917,0.112,0.0375,105.999,4.0,562.0,142.0,2.7259036144578315,idm,10
382339,False,49,Fredy Miller,Minha Alma Anseia por Ti,0.421,0.323,7,-8.597,0.0293,0.615,0.0,0.115,0.25,131.982,4.0,829.0,208.0,4.067085953878407,brazil,4
346290,False,68,Pritam;Arijit Singh;Shilpa Rao,Laal Singh Chaddha,0.589,0.522,9,-10.649,0.0391,0.642,2.74e-05,0.0992,0.31,109.094,4.0,618.0,155.0,1.343558282208589,indian,11
242693,False,56,Tanya Chua,陌生人,0.584,0.436,5,-9.564,0.0365,0.827,4.38e-05,0.0848,0.316,122.066,4.0,475.0,117.0,1.2793053545586106,mandopop,16
178604,False,55,Anurag Vashisht,Tum,0.454,0.463,4,-6.057,0.0323,0.854,0.0,0.106,0.214,171.826,4.0,493.0,123.0,0.916010498687664,indian,11
